High,Low,Volume,Close
70.16,69.25,12920000,69.87
69.85,69.16,14620000,69.77
70.25,68.97,33700000,69.48
70.68,69.88,17120000,70.24
71.37,70.80,16980000,71.01
71.40,70.45,9440000,71.35
71.83,70.74,13050000,70.91
72.45,70.90,21730000,71.67
70.79,70.09,15430000,70.75
70.56,69.47,23470000,70.33
69.92,69.15,14450000,69.47
70.02,69.43,12540000,69.63
70.35,69.69,15220000,70.21
69.81,68.97,21820000,69.74
69.56,68.78,40860000,68.84
70.00,69.09,16230000,69.21
70.46,69.58,15440000,69.62
71.62,70.24,15050000,70.52
71.88,70.73,17470000,71.02
71.89,71.10,12810000,71.73
71.85,71.25,12720000,71.56
72.17,71.25,12260000,71.84
71.32,70.59,12280000,71.26
70.98,70.44,9520000,70.85
70.95,70.34,13540000,70.41
71.34,70.18,13570000,70.87
71.27,69.98,20140000,70.66
71.53,70.86,10200000,71.49
71.96,71.10,28020000,71.59
71.15,69.96,10290000,70.99
71.39,70.55,8710000,70.65
71.71,71.06,10670000,71.27
71.47,70.19,12820000,71.26
71.48,70.46,11100000,70.64
71.57,71.08,12090000,71.34
71.62,70.93,12140000,71.18
71.66,71.13,13280000,71.42
71.75,70.93,18440000,71.49
71.22,69.11,19820000,71.10
68.85,68.10,16290000,68.67
69.20,68.38,14390000,68.47
69.83,68.22,21540000,69.04
70.65,69.96,11230000,70.02
71.96,70.63,14370000,70.67
72.17,71.16,15030000,71.89
71.39,70.66,12710000,71.21
71.29,70.51,11930000,71.19
71.31,70.59,12630000,71.14
71.53,70.73,18030000,70.79
72.96,71.18,21070000,72.04
72.20,69.78,16240000,71.84
71.75,70.81,16000000,71.28
72.41,70.62,16320000,71.40
72.91,71.79,16890000,72.01
73.43,71.87,16350000,72.78
73.86,72.41,15610000,73.38
72.95,71.31,16040000,72.26
72.91,71.21,20750000,72.49
72.15,70.88,15280000,71.17
72.12,71.22,14970000,71.35
72.15,70.43,13930000,71.94
71.34,70.04,19990000,70.93
70.70,68.49,22450000,70.26
69.97,66.81,27920000,69.46
69.49,67.28,22770000,67.94
68.89,65.58,34260000,67.89
72.50,69.30,26520000,69.44
73.43,71.81,24960000,72.66
71.85,70.55,14610000,70.83
71.40,70.68,15310000,71.36
71.43,69.99,24020000,71.11
70.81,69.04,17410000,69.87
70.48,69.58,11660000,70.24
69.85,68.41,14480000,69.53
68.59,68.12,12510000,68.32
68.59,67.85,12580000,68.46
69.48,67.70,47480000,68.19
69.32,68.60,16300000,69.22
68.89,68.06,14780000,68.79
69.70,68.81,12660000,68.89
69.68,68.59,15630000,69.63
68.77,67.90,14210000,68.67
69.24,68.29,15750000,68.62
69.72,68.74,18920000,68.94
71.01,69.60,28080000,70.02
72.17,70.29,25250000,70.43
70.79,68.65,28390000,70.41
69.52,68.46,21690000,69.45
69.73,68.84,23930000,69.08
71.61,68.88,25410000,69.18
71.32,68.73,21720000,71.28
70.54,69.55,22170000,70.19
70.51,69.41,16790000,69.85
70.25,69.51,14530000,69.79
70.74,69.72,21560000,70.47
70.70,69.32,21420000,69.58
70.57,69.13,21660000,70.33
69.07,68.43,13400000,69.04
69.13,68.18,16030000,69.07
68.38,67.44,15570000,68.06
69.03,67.77,20780000,67.88
68.61,67.78,24390000,68.50
67.83,65.91,26030000,67.73
66.70,65.46,30590000,66.63
63.72,62.75,16150000,63.63
63.00,62.36,13180000,62.93
62.83,62.01,13420000,62.45
62.38,61.69,10690000,62.22
62.72,61.46,15680000,61.77
62.72,61.54,12070000,62.44
